direction,entry_price,won
hold,88900.1,
hold,88883.3,
hold,88882.3,
hold,88860.0,
hold,88859.6,
hold,88858.4,
hold,88859.1,
hold,88855.0,
hold,88855.0,
hold,88855.0,
hold,88871.1,
hold,88865.9,
hold,88859.1,
sell,88873.2,True,"{'info': {'orderId': 'be25d7f8-3c7b-49f7-a598-d5c38964bf5a', 'orderLinkId': ''}, 'id': 'be25d7f8-3c7b-49f7-a598-d5c38964bf5a', 'clientOrderId': None, 'timestamp': None, 'datetime': None, 'lastTradeTimestamp': None, 'lastUpdateTimestamp': None, 'symbol': 'BTC/USDT:USDT', 'type': None, 'timeInForce': None, 'postOnly': None, 'reduceOnly': None, 'side': None, 'price': None, 'stopPrice': None, 'triggerPrice': None, 'takeProfitPrice': None, 'stopLossPrice': None, 'amount': None, 'cost': None, 'average': None, 'filled': None, 'remaining': None, 'status': None, 'fee': None, 'trades': [], 'fees': []}"
sell,88879.3,True,"{'info': {'orderId': '51817b38-84d2-4b06-8824-5423701b90e3', 'orderLinkId': ''}, 'id': '51817b38-84d2-4b06-8824-5423701b90e3', 'clientOrderId': None, 'timestamp': None, 'datetime': None, 'lastTradeTimestamp': None, 'lastUpdateTimestamp': None, 'symbol': 'BTC/USDT:USDT', 'type': None, 'timeInForce': None, 'postOnly': None, 'reduceOnly': None, 'side': None, 'price': None, 'stopPrice': None, 'triggerPrice': None, 'takeProfitPrice': None, 'stopLossPrice': None, 'amount': None, 'cost': None, 'average': None, 'filled': None, 'remaining': None, 'status': None, 'fee': None, 'trades': [], 'fees': []}"
sell,88888.0,False,Failed
sell,88887.9,False,Failed
sell,88888.0,False,Failed
hold,88887.9,
hold,88878.5,
hold,88878.4,
hold,88878.4,
hold,88878.4,
sell,88878.4,False,Failed
hold,88878.4,
hold,88878.4,
hold,88878.5,
hold,88878.4,
hold,88878.4,
sell,88884.0,False,Failed
hold,88884.0,
hold,88894.2,
hold,88894.2,
hold,88892.9,
hold,88892.9,
sell,88893.0,False,Failed
hold,88892.9,
hold,88892.9,
hold,88892.9,
hold,88892.9,
hold,88892.9,
sell,88892.9,False,Failed
hold,88889.5,
hold,88876.1,
hold,88876.1,
hold,88876.2,
hold,88876.2,
hold,88876.1,
hold,88876.1,
hold,88876.1,
hold,88876.1,
hold,88876.1,
hold,88876.2,
hold,88876.2,
hold,88876.1,
hold,88876.1,
hold,88876.1,
sell,88876.1,False,Failed
hold,88871.0,
hold,88866.6,
hold,88866.6,
hold,88876.1,
hold,88876.1,
sell,88876.2,False,Failed
hold,88876.2,
hold,88876.9,
hold,88876.9,
hold,88876.9,
hold,88876.9,
sell,88877.0,False,Failed
hold,88877.0,
hold,88876.0,
hold,88876.0,
hold,88876.0,
hold,88876.1,
hold,88868.0,
hold,88868.1,
hold,88857.0,
hold,88857.0,
hold,88855.0,
hold,88830.1,
hold,88819.7,
hold,88819.7,
hold,88800.1,
hold,88786.0,
hold,88813.9,
sell,88830.0,False,Failed
hold,88810.6,
hold,88810.6,
hold,88810.6,
hold,88810.6,
hold,88810.6,
sell,88823.2,False,Failed
hold,88823.6,
hold,88823.6,
hold,88823.7,
hold,88807.8,
hold,88826.9,
sell,88826.8,False,Failed
hold,88839.6,
hold,88839.7,
hold,88839.7,
hold,88839.6,
hold,88839.6,
sell,88839.6,False,Failed
hold,88839.6,
hold,88839.6,
hold,88830.0,
hold,88836.0,
hold,88836.1,
sell,88830.0,False,Failed
hold,88823.8,
hold,88823.7,
hold,88823.7,
hold,88823.7,
hold,88823.6,
hold,88813.4,
sell,88823.0,False,Failed
hold,88830.2,
hold,88837.4,
hold,88837.4,
hold,88839.6,
hold,88856.8,
